site,month,day,dist,date,time,cd,cr,cu,zn,no2,no3,nh3,tn,tp,op,alk,toc,cod,sb,cond,temp,sali,do,ph1,ph2,turb,vel,depth,width,chla,cfpom,sed,canop,graz,ind,for,rec,road,tra,un,res, treat,qua,graz1000,ind1000,for1000,rec1000,road1000,tra1000,un1000,res1000, treat1000,graz500,ind500,for500,rec500,road500,tra500,un500,res500, treat500,qua500,graz300,ind300,for300,rec300,road300,tra300,un300,res300, treat300,graz100,ind100,for100,rec100,road100,tra100,un100,res100, treat100,graz60,ind60,for60,rec60,road60,tra60,un60,res60, treat60,graz500w,ind500w,for500w,rec500w,road500w,tra500w,un500w,res500w, treat500w,graz400w,ind400w,for400w,rec400w,road400w,tra400w,un400w,res400w, treat400w,graz300w,ind300w,for300w,rec300w,road300w,tra300w,un300w,res300w, treat300w,graz200w,ind200w,for200w,rec200w,road200w,tra200w,un200w,res200w, treat200w,graz100w,ind100w,for100w,rec100w,road100w,tra100w,un100w,res100w, treat100w,graz60w,ind60w,for60w,rec60w,road60w,tra60w,un60w,res60w, treat60w,veg30m,veg60m,veg90m,airtemp,rain1,rain2,rain3,dno2,dno3,dop,dalk,dsb,dcond,dph,dcod,dnh3,dtn,dtp,dturb,dtoc,dchla,dflow,dtemp,dsali,ddo,dph2,dzn,dcu,dcr,dcd,monflow,dayflow,weekflow,cflow,cflow3,on,don,solar,zn1,temp2,vel2
up3,apr,126,3.2,16-04-14,2,0.2,2.3,0.99,7.3,0,0.05,0.03,0.38,0.06,0,18,5,12,0.01,64,15.15,0.07,9.39,7,6.9,45.37,0.2,38.33,6.1,1.97,2.46,1.06,50.6,62.48,0.18,7.35,0.16,6.11,0.51,8.3,14.08,0,0.83,37.8,12.38,2.84,0.26,7.77,0.81,16.1,22,0,3.01,25.53,6.97,0.42,11.33,0,41.86,10.89,0,0,0,33.66,13.63,0,1.75,0,47.43,3.54,0,0,75.98,12.07,0,0,0,11.95,0,0,25.26,74.74,0,0,0,0,0,0,0,50.88,4.8,2.68,0.88,7.33,0,10.36,23.08,0,50.29,4.39,2.86,0.14,8.14,0,11.68,22.49,0,49.87,3.95,3.17,0.07,8.31,0,13.2,21.43,0,49.34,3.42,3.67,0.1,7.91,0,14.5,21.05,0,52.4,3.36,5.59,0.2,7.61,0,16.57,14.26,0,50.44,3.46,6.33,0.1,6.11,0,16.61,16.94,0,2685.39,10093.33,19672.97,20.9,0,4.16875,0.25,0.186,4.03,1.395,372,0.496,2000,6.3,310,5.58,31,15.81,49.93,105.4,25.792,3.1,15.71,0.67,8.58,6.75,0.465,0.031,0.031,0.031,50.976,34.56,165.024,47.52,213.408,0.3,6.84,13.9,7.3,14.70625,0.19
up4,apr,126,3.9,16-04-14,2,0.2,1.3,0.99,7.9,0,0.06,0.01,0.41,0.1,0.01,17,5.2,17,0.13,64,14.38,0.07,8.65,7,7.34,48.5,0.17,18,6.15,2.14,3.52,1.27,35.52,59.81,0.24,8.52,0.45,5.49,0.46,8.19,16.21,0.01,0.64,17.95,11.26,2.64,12.93,6.09,0.16,28.77,20,0.61,14.16,12.44,1.97,20.87,2.02,0,18.82,28.01,1.71,0,32.23,0,27.21,0,0,0,8.05,29.05,3.45,10.11,0,0,4.85,0,0,24.71,54.39,5.94,0,0,0,0,0,0,25.99,73.16,0.85,45.31,6.5,2.42,3.66,6.66,0,10.97,23.49,1,45.53,5.41,2.62,3.44,7.33,0,11.79,22.72,1.16,45.46,4.19,2.94,3.74,7.52,0,12.81,21.87,1.47,45.1,3.66,3.49,3.76,7.12,0,13.76,21.84,1.27,47.63,3.72,5.38,2.64,6.83,0,16.44,16.76,0.6,46.32,3.68,6.27,1.01,5.51,0,17.28,19.94,0,2455.28,5662.2,10103.71,20.9,0,4.16875,0.25,0.186,4.03,1.395,372,0.496,2000,6.3,310,5.58,31,15.81,49.93,105.4,25.792,3.1,15.71,0.67,8.58,6.75,0.465,0.031,0.031,0.031,50.976,34.56,165.024,47.52,213.408,0.34,6.84,13.9,7.9,14.70625,0.19
ds1,apr,126,4.08,16-04-14,2,0.2,1.7,0.99,8.3,0,0.1,0.07,0.57,0.22,0.02,17,6.3,19,0.08,140,14.59,0.15,8.6,6.8,7.1,47.9,0.2,30,4,4.12,0.77,1.03,52.42,59.78,0.24,8.52,0.45,5.49,0.46,8.19,16.21,0.02,0.64,8.45,16.75,2.68,12.93,7.67,1.43,26.55,22,1.82,13.05,24.08,1.64,16.92,2.6,0,16.77,18.33,6.62,0,15.46,0,0,38.1,0.96,0,7.25,19.52,18.72,0,0,0,0,3.36,0,20.12,27.11,49.4,0,0,0,0,5.16,0,30.1,31.7,33.05,44.54,6.39,2.38,3.6,6.62,0,10.85,23.99,1.64,44.78,5.32,2.58,3.38,7.31,0,11.68,23.22,1.73,44.68,4.12,2.89,3.68,7.51,0,12.71,22.43,1.99,44.27,3.59,3.42,3.69,7.15,0,13.68,22.45,1.76,46.65,3.64,5.27,2.59,6.83,0,16.45,17.54,1.03,45.3,3.6,6.13,0.98,5.49,0,17.56,20.56,0.37,2758.3,8468.64,12953.89,20.9,0,4.16875,0.25,0.186,4.03,1.395,372,0.496,2000,6.3,310,5.58,31,15.81,49.93,105.4,25.792,3.1,15.71,0.67,8.58,6.75,0.465,0.031,0.031,0.031,50.976,34.56,165.024,47.52,213.408,0.4,6.84,13.9,8.3,14.70625,0.19
ds2,apr,126,4.83,16-04-14,2,0.2,4.3,1,18,0,0.18,0.18,1,0.46,0.05,18,8.2,21,0.06,270,15.03,0.28,8.02,6.7,6.93,41.03,0.19,54.33,4.7,5.15,4.37,1.19,38.12,59.34,0.43,8.44,0.51,5.5,0.46,8.26,16.14,0.29,0.64,8.67,21.45,1.36,7.19,6.85,3.8,20.23,20,10.23,13.18,10.3,0,2.1,2.11,0.29,23.36,10.88,37.78,0,8.74,6.35,0,0,1.49,0.72,41.34,6.02,35.35,0,4.75,0,0,6.62,0,61.27,15.53,11.83,0,0,0,0,9.03,0,68.36,22.62,0,41.28,6.73,2.09,3.36,6.08,0,13.68,22.15,4.63,41.4,5.5,2.26,3.09,6.68,0.04,14.72,21.43,4.87,41.29,4.19,2.54,3.24,6.84,0.06,15.93,20.76,5.16,40.81,3.45,2.99,3.22,6.46,0.08,17.4,20.82,4.77,42.33,3.24,4.52,2.22,6.07,0,21.67,16.9,3.05,41.69,3.11,5.3,0.85,4.93,0,22.86,20.28,0.97,2395.79,8710.49,18191.34,20.9,0,4.16875,0.25,0.186,4.03,1.395,372,0.496,2000,6.3,310,5.58,31,15.81,49.93,105.4,25.792,3.1,15.71,0.67,8.58,6.75,0.465,0.031,0.031,0.031,50.976,34.56,165.024,47.52,213.408,0.64,6.84,13.9,18,14.70625,0.19
ds3,apr,126,6.53,16-04-14,2,0.2,2,0.99,12,0,0.19,0.17,0.88,0.35,0.04,17,7.9,21,0.02,260,15.38,0.27,7.78,6.7,6.98,47.3,0.2,30.33,2.9,6.41,7.46,1.17,31.36,58.99,0.43,8.33,0.51,5.47,0.45,8.41,16.49,0.29,0.63,27.03,11.27,0.51,2.84,6.02,0.26,16.67,28,6.95,23.63,0,0,0.26,6.33,0,14.04,55.74,0,0,24.64,0,0,0,6.1,0,30.22,39.04,0,0,0,0,0,6.45,0,73.85,19.7,0,0,0,0,0,11.16,0,67.8,21.03,0,44.28,5.87,1.82,3.04,6.51,0,15.13,19.31,4.04,40.26,4.34,1.78,2.44,6.27,0.03,14.47,26.58,3.84,40.29,3.29,1.99,2.54,6.16,0.04,15.51,26.11,4.05,40.1,2.71,2.35,2.53,5.78,0.06,16.73,25.97,3.75,22.83,1.42,1.98,0.97,2.94,0,11.57,13.05,1.34,39.25,2.44,4.15,0.67,4.3,0,22.93,25.5,0.76,2306.29,8353.63,19010.9,20.9,0,4.16875,0.25,0.186,4.03,1.395,372,0.496,2000,6.3,310,5.58,31,15.81,49.93,105.4,25.792,3.1,15.71,0.67,8.58,6.75,0.465,0.031,0.031,0.031,50.976,34.56,165.024,47.52,213.408,0.52,6.84,13.9,12,14.70625,0.19
ds4,apr,126,7.08,16-04-14,2,0.2,1.3,0.99,9.3,0,0.19,0.16,1.1,0.43,0.03,18,7.7,53,0.04,250,15.58,0.27,7.44,6.8,6.91,49.7,0.16,31.67,8.5,3.6,1.03,1.39,42.02,58.79,0.42,8.3,0.51,5.49,0.45,8.42,16.7,0.29,0.63,27.36,4.55,0.19,3.1,9.13,0.07,8.95,46,0.18,7.78,0,0.26,0.72,12.27,0,17.47,61.5,0,0,0,0,0.67,2.08,16.72,0,14.96,65.57,0,0,0,0,4.34,19.48,0,36.58,39.6,0,0,0,0,0,19.99,0,59.48,20.52,0,41.14,5.45,1.69,2.94,7.32,0,14.61,23.09,3.75,37.73,4.06,1.67,2.39,7.1,0.03,14.15,29.27,3.6,37.79,3.08,1.87,2.52,6.9,0.04,15.3,28.69,3.8,37.64,2.55,2.21,2.54,6.49,0.06,16.7,28.29,3.52,22.17,1.38,1.92,1.07,3.41,0,12.14,14.66,1.3,36.92,2.29,3.9,0.87,4.94,0,23.87,26.49,0.71,2676.88,10289.01,21787.78,20.9,0,4.16875,0.25,0.186,4.03,1.395,372,0.496,2000,6.3,310,5.58,31,15.81,49.93,105.4,25.792,3.1,15.71,0.67,8.58,6.75,0.465,0.031,0.031,0.031,50.976,34.56,165.024,47.52,213.408,0.75,6.84,13.9,9.3,14.70625,0.19
up1,aug,260,0,28-08-14,3,0.2,2.8,1.2,8.7,0,0.36,0.01,0.52,0.01,0,57,1.8,7,0.01,57,10.36,0.06,NA,6.9,7.09,21.63,0.56,29.83,4.5,0.89,2.7,1.31,45.92,48.55,0,13.83,0.29,8.26,0.65,4.44,22.37,0,1.61,64.34,0,4.21,0,13.93,1.25,1.32,15,0,72.44,0,10.12,0,10.07,0,0.04,7.33,0,0,60.53,0,15.15,0,16.92,0,0,7.4,0,48.51,0,19.49,0,21.27,0,0,10.73,0,36.89,0,17.31,0,37.45,0,0,8.35,0,80.68,0,8.34,0,10.98,0,0,0,0,76.67,0,9.55,0,13.79,0,0,0,0,70.77,0,11.25,0,17.98,0,0,0,0,71.21,0,14.27,0,14.52,0,0,0,0,46.14,0,17.43,0,36.44,0,0,0,0,31.28,0,29.28,0,39.44,0,0,0,0,1938.28,6081.31,12440.83,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.15,4.94,15.6,8.7,10.685,0.29875
up2,aug,260,1.8,28-08-14,3,0.2,2.8,1,6,0,0.34,0.01,0.43,0.01,0,56,1.8,6,0.01,56,10.4,0.06,NA,6.9,7.56,21,0.6,44.17,4.5,1.21,10.32,1.75,22,62.89,0.08,7.32,0.15,6.1,0.51,8.05,14.07,0,0.83,65.17,0,0,0,4,0,0,30,0,80.52,0,1.37,0,2.86,0,0,15.24,0,0,94.28,0,0,0,5.08,0,0,0.64,0,83.99,0,0,0,16.01,0,0,0,0,85.94,0,0,0,14,0,0,0,0,65.43,0,1.59,0.06,6.6,0,0.11,26.21,0,66.13,0,1.58,0.07,7.31,0,0.13,24.78,0,66.95,0,1.58,0.1,8.51,0,0.18,22.68,0,68.77,0,1.68,0,7.71,0,0,21.84,0,72.23,0,1.68,0,6.28,0,0,19.81,0,74.78,0,1.06,0,4.54,0,0,19.61,0,2132.54,9354.84,18979.66,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.08,4.94,15.6,6,10.685,0.29875
up3,aug,260,3.2,28-08-14,3,0.2,2.5,1,10,0,0.34,0.01,0.35,0.02,0,57,1.9,7,0.01,57,10.47,0.06,NA,6.8,7.43,24.17,0.41,49.23,4.5,1.76,1.89,1.06,46.7,62.48,0.18,7.35,0.16,6.11,0.51,8.3,14.08,0,0.83,37.8,12.38,2.84,0.26,7.77,0.81,16.1,22,0,3.01,25.53,6.97,0.42,11.33,0,41.86,10.89,0,0,0,33.66,13.63,0,1.75,0,47.43,3.54,0,0,75.98,12.07,0,0,0,11.95,0,0,25.26,74.74,0,0,0,0,0,0,0,50.88,4.8,2.68,0.88,7.33,0,10.36,23.08,0,50.29,4.39,2.86,0.14,8.14,0,11.68,22.49,0,49.87,3.95,3.17,0.07,8.31,0,13.2,21.43,0,49.34,3.42,3.67,0.1,7.91,0,14.5,21.05,0,52.4,3.36,5.59,0.2,7.61,0,16.57,14.26,0,50.44,3.46,6.33,0.1,6.11,0,16.61,16.94,0,2685.39,10093.33,19672.97,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0,4.94,15.6,10,10.685,0.29875
up4,aug,260,3.9,28-08-14,3,0.2,2.5,1,9.3,0,0.33,0.03,0.56,0.02,0,57,1.9,12,0.02,57,10.6,0.06,NA,6.8,7.54,29.53,0.09,30.33,8,0.98,16.25,1.18,53.2,59.81,0.24,8.52,0.45,5.49,0.46,8.19,16.21,0.01,0.64,17.95,11.26,2.64,12.93,6.09,0.16,28.77,20,0.61,14.16,12.44,1.97,20.87,2.02,0,18.82,28.01,1.71,0,32.23,0,27.21,0,0,0,8.05,29.05,3.45,10.11,0,0,4.85,0,0,24.71,54.39,5.94,0,0,0,0,0,0,25.99,73.16,0.85,45.31,6.5,2.42,3.66,6.66,0,10.97,23.49,1,45.53,5.41,2.62,3.44,7.33,0,11.79,22.72,1.16,45.46,4.19,2.94,3.74,7.52,0,12.81,21.87,1.47,45.1,3.66,3.49,3.76,7.12,0,13.76,21.84,1.27,47.63,3.72,5.38,2.64,6.83,0,16.44,16.76,0.6,46.32,3.68,6.27,1.01,5.51,0,17.28,19.94,0,2455.28,5662.2,10103.71,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.2,4.94,15.6,9.3,10.685,0.29875
ds1,aug,260,4.08,28-08-14,3,0.2,2.5,1,7.6,0.04,0.48,0.36,1.4,0.18,0,150,2.2,16,0.06,150,10.74,0.15,NA,6.8,7.8,30.07,0.15,52,5,3.43,1.83,1,62.56,59.78,0.24,8.52,0.45,5.49,0.46,8.19,16.21,0.02,0.64,8.45,16.75,2.68,12.93,7.67,1.43,26.55,22,1.82,13.05,24.08,1.64,16.92,2.6,0,16.77,18.33,6.62,0,15.46,0,0,38.1,0.96,0,7.25,19.52,18.72,0,0,0,0,3.36,0,20.12,27.11,49.4,0,0,0,0,5.16,0,30.1,31.7,33.05,44.54,6.39,2.38,3.6,6.62,0,10.85,23.99,1.64,44.78,5.32,2.58,3.38,7.31,0,11.68,23.22,1.73,44.68,4.12,2.89,3.68,7.51,0,12.71,22.43,1.99,44.27,3.59,3.42,3.69,7.15,0,13.68,22.45,1.76,46.65,3.64,5.27,2.59,6.83,0,16.45,17.54,1.03,45.3,3.6,6.13,0.98,5.49,0,17.56,20.56,0.37,2758.3,8468.64,12953.89,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.52,4.94,15.6,7.6,10.685,0.29875
ds2,aug,260,4.83,28-08-14,3,0.2,5.6,1.2,11,0.03,0.45,0.27,0.98,0.14,0,130,2.1,13,0.03,130,10.78,0.13,NA,6.8,7.49,32.8,0.07,63.67,4,2.68,1.53,1.12,29.28,59.34,0.43,8.44,0.51,5.5,0.46,8.26,16.14,0.29,0.64,8.67,21.45,1.36,7.19,6.85,3.8,20.23,20,10.23,13.18,10.3,0,2.1,2.11,0.29,23.36,10.88,37.78,0,8.74,6.35,0,0,1.49,0.72,41.34,6.02,35.35,0,4.75,0,0,6.62,0,61.27,15.53,11.83,0,0,0,0,9.03,0,68.36,22.62,0,41.28,6.73,2.09,3.36,6.08,0,13.68,22.15,4.63,41.4,5.5,2.26,3.09,6.68,0.04,14.72,21.43,4.87,41.29,4.19,2.54,3.24,6.84,0.06,15.93,20.76,5.16,40.81,3.45,2.99,3.22,6.46,0.08,17.4,20.82,4.77,42.33,3.24,4.52,2.22,6.07,0,21.67,16.9,3.05,41.69,3.11,5.3,0.85,4.93,0,22.86,20.28,0.97,2395.79,8710.49,18191.34,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.23,4.94,15.6,11,10.685,0.29875
ds3,aug,260,6.53,28-08-14,3,0.2,6.7,2.2,20,0.03,0.45,0.26,1.1,0.13,0,120,2.4,10,0.01,120,11.05,0.12,NA,6.9,7.53,23.99,0.4,50.5,4,2.64,8.99,1.1,45.14,58.99,0.43,8.33,0.51,5.47,0.45,8.41,16.49,0.29,0.63,27.03,11.27,0.51,2.84,6.02,0.26,16.67,28,6.95,23.63,0,0,0.26,6.33,0,14.04,55.74,0,0,24.64,0,0,0,6.1,0,30.22,39.04,0,0,0,0,0,6.45,0,73.85,19.7,0,0,0,0,0,11.16,0,67.8,21.03,0,44.28,5.87,1.82,3.04,6.51,0,15.13,19.31,4.04,40.26,4.34,1.78,2.44,6.27,0.03,14.47,26.58,3.84,40.29,3.29,1.99,2.54,6.16,0.04,15.51,26.11,4.05,40.1,2.71,2.35,2.53,5.78,0.06,16.73,25.97,3.75,22.83,1.42,1.98,0.97,2.94,0,11.57,13.05,1.34,39.25,2.44,4.15,0.67,4.3,0,22.93,25.5,0.76,2306.29,8353.63,19010.9,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.36,4.94,15.6,20,10.685,0.29875
ds4,aug,260,7.08,28-08-14,3,0.2,2.3,1.6,16,0.03,0.45,0.25,1,0.14,0,130,2.1,19,0.14,130,11.08,0.12,NA,6.9,7.87,34,0.11,54.33,4,2.45,0.74,1.15,45.14,58.79,0.42,8.3,0.51,5.49,0.45,8.42,16.7,0.29,0.63,27.36,4.55,0.19,3.1,9.13,0.07,8.95,46,0.18,7.78,0,0.26,0.72,12.27,0,17.47,61.5,0,0,0,0,0.67,2.08,16.72,0,14.96,65.57,0,0,0,0,4.34,19.48,0,36.58,39.6,0,0,0,0,0,19.99,0,59.48,20.52,0,41.14,5.45,1.69,2.94,7.32,0,14.61,23.09,3.75,37.73,4.06,1.67,2.39,7.1,0.03,14.15,29.27,3.6,37.79,3.08,1.87,2.52,6.9,0.04,15.3,28.69,3.8,37.64,2.55,2.21,2.54,6.49,0.06,16.7,28.29,3.52,22.17,1.38,1.92,1.07,3.41,0,12.14,14.66,1.3,36.92,2.29,3.9,0.87,4.94,0,23.87,26.49,0.71,2676.88,10289.01,21787.78,16.5,0,0.16875,4.2,3.264,13.94,0.068,476,0.51,1900,7,442,27.2,61.2,12.58,25.3,85,67.864,3.4,10.76,0.22,NA,7.55,0.408,0.034,0.034,0.034,210.816,118.368,129.6,235.008,108.864,0.27,4.94,15.6,16,10.685,0.29875
up1,nov,336,0,12-11-14,4,1.1,3.8,10,35,0,0.01,0.01,0.11,0.02,0.01,26,2.6,9,0.01,74,16.39,0.08,8.83,7.4,7.61,24.5,0.32,18.5,5.17,3.09,6.01,1.16,36.56,48.55,0,13.83,0.29,8.26,0.65,4.44,22.37,0,1.61,64.34,0,4.21,0,13.93,1.25,1.32,15,0,72.44,0,10.12,0,10.07,0,0.04,7.33,0,0,60.53,0,15.15,0,16.92,0,0,7.4,0,48.51,0,19.49,0,21.27,0,0,10.73,0,36.89,0,17.31,0,37.45,0,0,8.35,0,80.68,0,8.34,0,10.98,0,0,0,0,76.67,0,9.55,0,13.79,0,0,0,0,70.77,0,11.25,0,17.98,0,0,0,0,71.21,0,14.27,0,14.52,0,0,0,0,46.14,0,17.43,0,36.44,0,0,0,0,31.28,0,29.28,0,39.44,0,0,0,0,1938.28,6081.31,12440.83,30.6,0,0.35,1.15,0.4323,2.096,0.0131,222.7,0.262,2400,7.3,144.1,0.1965,12.052,4.585,20.98,41.92,96.2195,1.31,18.08,0.77,8.17,7.67,0.0655,0.0131,0.0131,0.0131,26.784,15.552,19.872,38.016,72.576,0.09,7.12,26.9,9.4,17.64375,0.325
up2,nov,336,1.8,12-11-14,4,0.6,2.7,1.2,8.3,0,0.01,0.01,0.2,0.02,0,29,2.5,9,0.01,75,16.64,0.08,8.28,7.3,7.57,19.3,0.37,4.2,6.13,3.12,0.64,1.36,35.52,62.89,0.08,7.32,0.15,6.1,0.51,8.05,14.07,0,0.83,65.17,0,0,0,4,0,0,30,0,80.52,0,1.37,0,2.86,0,0,15.24,0,0,94.28,0,0,0,5.08,0,0,0.64,0,83.99,0,0,0,16.01,0,0,0,0,85.94,0,0,0,14,0,0,0,0,65.43,0,1.59,0.06,6.6,0,0.11,26.21,0,66.13,0,1.58,0.07,7.31,0,0.13,24.78,0,66.95,0,1.58,0.1,8.51,0,0.18,22.68,0,68.77,0,1.68,0,7.71,0,0,21.84,0,72.23,0,1.68,0,6.28,0,0,19.81,0,74.78,0,1.06,0,4.54,0,0,19.61,0,2132.54,9354.84,18979.66,30.6,0,0.35,1.15,0.4323,2.096,0.0131,222.7,0.262,2400,7.3,144.1,0.1965,12.052,4.585,20.98,41.92,96.2195,1.31,18.08,0.77,8.17,7.67,0.0655,0.0131,0.0131,0.0131,26.784,15.552,19.872,38.016,72.576,0.18,7.12,26.9,8.3,17.64375,0.325
up3,nov,336,3.2,12-11-14,4,0.2,1.9,1,10,0,0.01,0.01,0.25,0.02,0,26,2.6,9,0.01,78,16.88,0.08,8.16,7.2,7.66,17.23,0.33,7.83,5.19,3.11,14.11,1.62,53.2,62.48,0.18,7.35,0.16,6.11,0.51,8.3,14.08,0,0.83,37.8,12.38,2.84,0.26,7.77,0.81,16.1,22,0,3.01,25.53,6.97,0.42,11.33,0,41.86,10.89,0,0,0,33.66,13.63,0,1.75,0,47.43,3.54,0,0,75.98,12.07,0,0,0,11.95,0,0,25.26,74.74,0,0,0,0,0,0,0,50.88,4.8,2.68,0.88,7.33,0,10.36,23.08,0,50.29,4.39,2.86,0.14,8.14,0,11.68,22.49,0,49.87,3.95,3.17,0.07,8.31,0,13.2,21.43,0,49.34,3.42,3.67,0.1,7.91,0,14.5,21.05,0,52.4,3.36,5.59,0.2,7.61,0,16.57,14.26,0,50.44,3.46,6.33,0.1,6.11,0,16.61,16.94,0,2685.39,10093.33,19672.97,30.6,0,0.35,1.15,0.4323,2.096,0.0131,222.7,0.262,2400,7.3,144.1,0.1965,12.052,4.585,20.98,41.92,96.2195,1.31,18.08,0.77,8.17,7.67,0.0655,0.0131,0.0131,0.0131,26.784,15.552,19.872,38.016,72.576,0.23,7.12,26.9,10,17.64375,0.325
up4,nov,336,3.9,12-11-14,4,0.2,2.8,1,7.8,0,0.01,0.01,0.2,0.02,0,28,2.8,8,0.01,96,17.2,0.08,8.2,7.2,7.69,24.03,0.4,8.83,4.76,3.34,0.34,1.19,29.54,59.81,0.24,8.52,0.45,5.49,0.46,8.19,16.21,0.01,0.64,17.95,11.26,2.64,12.93,6.09,0.16,28.77,20,0.61,14.16,12.44,1.97,20.87,2.02,0,18.82,28.01,1.71,0,32.23,0,27.21,0,0,0,8.05,29.05,3.45,10.11,0,0,4.85,0,0,24.71,54.39,5.94,0,0,0,0,0,0,25.99,73.16,0.85,45.31,6.5,2.42,3.66,6.66,0,10.97,23.49,1,45.53,5.41,2.62,3.44,7.33,0,11.79,22.72,1.16,45.46,4.19,2.94,3.74,7.52,0,12.81,21.87,1.47,45.1,3.66,3.49,3.76,7.12,0,13.76,21.84,1.27,47.63,3.72,5.38,2.64,6.83,0,16.44,16.76,0.6,46.32,3.68,6.27,1.01,5.51,0,17.28,19.94,0,2455.28,5662.2,10103.71,30.6,0,0.35,1.15,0.4323,2.096,0.0131,222.7,0.262,2400,7.3,144.1,0.1965,12.052,4.585,20.98,41.92,96.2195,1.31,18.08,0.77,8.17,7.67,0.0655,0.0131,0.0131,0.0131,26.784,15.552,19.872,38.016,72.576,0.18,7.12,26.9,7.8,17.64375,0.325
ds1,nov,336,4.08,12-11-14,4,0.2,4.7,1,13,0.07,0.5,0.02,2.2,0.58,0,55,9.1,27,0.06,600,18.11,0.62,8.33,7.2,7.73,20.3,0.37,9.75,4.48,18.2,4.54,1.08,54.76,59.78,0.24,8.52,0.45,5.49,0.46,8.19,16.21,0.02,0.64,8.45,16.75,2.68,12.93,7.67,1.43,26.55,22,1.82,13.05,24.08,1.64,16.92,2.6,0,16.77,18.33,6.62,0,15.46,0,0,38.1,0.96,0,7.25,19.52,18.72,0,0,0,0,3.36,0,20.12,27.11,49.4,0,0,0,0,5.16,0,30.1,31.7,33.05,44.54,6.39,2.38,3.6,6.62,0,10.85,23.99,1.64,44.78,5.32,2.58,3.38,7.31,0,11.68,23.22,1.73,44.68,4.12,2.89,3.68,7.51,0,12.71,22.43,1.99,44.27,3.59,3.42,3.69,7.15,0,13.68,22.45,1.76,46.65,3.64,5.27,2.59,6.83,0,16.45,17.54,1.03,45.3,3.6,6.13,0.98,5.49,0,17.56,20.56,0.37,2758.3,8468.64,12953.89,30.6,0,0.35,1.15,0.4323,2.096,0.0131,222.7,0.262,2400,7.3,144.1,0.1965,12.052,4.585,20.98,41.92,96.2195,1.31,18.08,0.77,8.17,7.67,0.0655,0.0131,0.0131,0.0131,26.784,15.552,19.872,38.016,72.576,1.61,7.12,26.9,13,17.64375,0.325
ds2,nov,336,4.83,12-11-14,4,0.2,1.8,1,10,0.03,0.23,0.01,0.98,0.34,0.01,42,4,12,0.03,320,17.54,0.33,7.88,7.2,7.64,19.33,0.36,11.63,4.7,8.98,0.3,1.08,51.9,59.34,0.43,8.44,0.51,5.5,0.46,8.26,16.14,0.29,0.64,8.67,21.45,1.36,7.19,6.85,3.8,20.23,20,10.23,13.18,10.3,0,2.1,2.11,0.29,23.36,10.88,37.78,0,8.74,6.35,0,0,1.49,0.72,41.34,6.02,35.35,0,4.75,0,0,6.62,0,61.27,15.53,11.83,0,0,0,0,9.03,0,68.36,22.62,0,41.28,6.73,2.09,3.36,6.08,0,13.68,22.15,4.63,41.4,5.5,2.26,3.09,6.68,0.04,14.72,21.43,4.87,41.29,4.19,2.54,3.24,6.84,0.06,15.93,20.76,5.16,40.81,3.45,2.99,3.22,6.46,0.08,17.4,20.82,4.77,42.33,3.24,4.52,2.22,6.07,0,21.67,16.9,3.05,41.69,3.11,5.3,0.85,4.93,0,22.86,20.28,0.97,2395.79,8710.49,18191.34,30.6,0,0.35,1.15,0.4323,2.096,0.0131,222.7,0.262,2400,7.3,144.1,0.1965,12.052,4.585,20.98,41.92,96.2195,1.31,18.08,0.77,8.17,7.67,0.0655,0.0131,0.0131,0.0131,26.784,15.552,19.872,38.016,72.576,0.71,7.12,26.9,10,17.64375,0.325
